file_name,text
audio/000001.wav,we can't sell beef it's peanuts and by
audio/000002.wav,the way unbelievable people are coming a
audio/000003.wav,lot of people that are illegal are great
audio/000004.wav,people just let's get it straight they
audio/000005.wav,don't want to give it straight because
audio/000006.wav,the Press are liars they're terrible
audio/000007.wav,people but here's an idea so Mexico is
audio/000008.wav,sending lots of B and by the way they're
audio/000009.wav,coming from all over the world including
audio/000010.wav,the Middle East why not come in come on
audio/000011.wav,in we're stupid we'll take care of you
audio/000012.wav,we'll
audio/000013.wav,pay get sick we'll take care of you your
audio/000014.wav,hospitalization what kind of a plan do
audio/000015.wav,you want Oh Don you're a little
audio/000016.wav,controversial you're talking about
audio/000017.wav,illegal immigration I said it's illegal
audio/000018.wav,that there are
audio/000019.wav,for immigrants on the whole Kore or come
audio/000020.wav,on try getting it out try getting it out
audio/000021.wav,I'll get it out I mean I don't know if
audio/000022.wav,you're going to put this on television
audio/000023.wav,but you don't even know what you're
audio/000024.wav,talking about try getting it out go
audio/000025.wav,ahead the premiums are going through the
audio/000026.wav,roof the deductibles frankly you have to
audio/000027.wav,get hit with a kamasu tractor in order
audio/000028.wav,to use them they're so high we just
audio/000029.wav,spent a million dollars building a
audio/000030.wav,soccer
audio/000031.wav,field okay a soccer field for our
audio/000032.wav,prisoners that happen to be in
audio/000033.wav,Guantanamo okay I don't like that what
audio/000034.wav,do you need a million dollars for level
audio/000035.wav,out the surface let them play the
audio/000036.wav,Iranians are great negotiators the
audio/000037.wav,Persians are great negotiators and we
audio/000038.wav,have people that are babies it's like a
audio/000039.wav,chess player Grandmaster playing against
audio/000040.wav,a Checker's child no that's what it is
audio/000041.wav,we give them think of it a nuclear
audio/000042.wav,scientist and they won't give us our
audio/000043.wav,hostages
audio/000044.wav,back it's so so insane President
audio/000045.wav,Obama secretary Kerrie I highly think
audio/000046.wav,you should read this book quickly
audio/000047.wav,quickly we have very stupid people in
audio/000048.wav,our country negotiating for us and we
audio/000049.wav,have leaders that don't know what
audio/000050.wav,they're doing you know Jeb Bush one of
audio/000051.wav,my opponents I noticed he's not doing
audio/000052.wav,very well in the polls I've actually and
audio/000053.wav,by the way they said I won the debate is
audio/000054.wav,that nice is that
audio/000055.wav,nice right the polls came out and said I
audio/000056.wav,and the media look at all those people
audio/000057.wav,back there scavengers they're like
audio/000058.wav,scavengers they'll probably say the
audio/000059.wav,crowds were about equal oh they were
audio/000060.wav,equal but that's the way they are very
audio/000061.wav,dishonest CNN is terrible CNN you're
audio/000062.wav,with CNN are you a CNN are good you
audio/000063.wav,people do not cover us accurately at all
audio/000064.wav,so they have a few protesters outside
audio/000065.wav,and they have thousands of people and
audio/000066.wav,the first question from CNN is about
audio/000067.wav,protesters so what I'm going to do is
audio/000068.wav,span out span out show them the crowd
audio/000069.wav,press show them the crowd show them the
audio/000070.wav,crowd look they're not turning the
audio/000071.wav,cameras they don't even turn the
audio/000072.wav,cameras they don't even turn the cameras
audio/000073.wav,because you know what they're very
